pairID	nwk1	nwk2	class1	class2	class_pair	sum_overlap	TreeDistance	NyeSimilarity	MatchingSplitDistance	KendallColijn	MASTSize	year	year2	order	rank	sum_loci	morph_chars	rank_numeric	loci_diff	exact_prop	prop_overlap	class.pair2
pairID0	AcostaMorrone2013Phalacropsyllini.nwk	WhitingWhiting2008Siphonaptera.nwk	C	G	CG	11	0.337859633213505	6.10833333333333	12	7.14142842854285	8	2013	2008	Other	order	6	32	6	-2	1	0.146153846153846	NA
pairID1	AcostaMorrone2013Phalacropsyllini.nwk	ZhuHastriter2015Siphonaptera.nwk	C	G	CG	11	0	8	0	4.24264068711928	9	2013	2015	Other	order	11	32	6	-7	1	0.0883720930232558	NA
pairID3	AcsMelika2007Cynipini.nwk	Liljeblad2008Cynipidae.nwk	G	P	GP	7	0.496765917919658	2.66666666666667	5	3.87298334620742	6	2007	2008	Hymenoptera	subfamily	2	308	3	2	1	0.241935483870968	NA
pairID4	AdusePoku2016Mycalesina.nwk	Kodandaramaiah2010Mycalesina.nwk	C	G	CG	17	0.33043717932653	11	18	15.2970585407784	11	2016	2010	Lepidoptera	subtribe	13	428	NA	7	1	0.567901234567901	NA
pairID5	AhnJeon2010Liparocephalini.nwk	BocakBarton2014Coleoptera.nwk	C	G	CG	19	0.0911638533919859	14.8	6	10.5830052442584	17	2010	2014	Coleoptera	subfamily	8	50	3	0	1	0.00311915159076731	NA
pairID6	AhnJeon2010Liparocephalini.nwk	LinardVogler2018.nwk	C	M	NA	19	0.166787417329386	13.75	10	6.557438524302	15	2010	2018	Coleoptera	subfamily	20	50	3	-12	1	0.00190949016612564	NA
pairID10	Ahrens2006Sericini.nwk	SipekFabrizi2016Cetoniinae.nwk	P	G	GP	26	0.345000685898162	15.2486115333941	39	30.0333148353624	14	2006	2016	Coleoptera	family	3	107	3	-3	0.346153846153846	0.18503937007874	NA
pairID7	Ahrens2006Sericini.nwk	Ahrens2014Scarabaeoidea.nwk	P	G	GP	25	0.472926434392129	12.5521633337423	62	35.2420203734122	12	2006	2014	Coleoptera	family	4	107	3	-4	0.52	0.276470588235294	NA
pairID8	Ahrens2006Sericini.nwk	BocakBarton2014Coleoptera.nwk	P	G	GP	30	0.4582864010071	15.6195670995671	74	45.3541618817943	16	2006	2014	Coleoptera	family	4	107	3	-4	0.233333333333333	0.00728569214075337	NA
pairID9	Ahrens2006Sericini.nwk	HuntBergsten2007Coleoptera.nwk	P	G	GP	23	0.551331587545988	9.69244264507422	56	27.3130005674953	10	2006	2007	Coleoptera	family	3	107	3	-3	0.304347826086957	0.0309007232084155	NA
pairID11	Ahrens2014Scarabaeoidea.nwk	BocakBarton2014Coleoptera.nwk	G	G	GG	115	0.29448030187208	80.4285379600731	315	151.367103427396	53	2014	2014	Coleoptera	suborder	8	0	5	0	0.765217391304348	0.0215170278637771	NA
pairID12	Ahrens2014Scarabaeoidea.nwk	GuoLin2022Scarabaeidae.nwk	G	M	GM	22	0.30668728454181	13.5018341307815	26	27.4408454680245	11	2014	2022	Coleoptera	superfamily	17	0	4	-9	0.363636363636364	0.553784860557769	NA
pairID13	Ahrens2014Scarabaeoidea.nwk	HuntBergsten2007Coleoptera.nwk	G	G	GG	95	0.411201907116828	57.0903344262195	320	130.088431461064	33	2014	2007	Coleoptera	suborder	7	0	5	1	0.778947368421053	0.0900259067357513	NA
pairID14	Ahrens2014Scarabaeoidea.nwk	LinardVogler2018.nwk	G	M	GM	103	0.27365493740569	74.5409394567459	251	187.365952083083	50	2014	2018	Coleoptera	suborder	20	0	5	-12	0.737864077669903	0.0131953673818113	NA
pairID15	Ahrens2014Scarabaeoidea.nwk	MonaghanInward2007Scarabaeinae.nwk	G	G	GG	22	0.342180121587197	13.5320989639875	41	22.4053565024081	16	2014	2007	Coleoptera	family	7	0	3	1	0.727272727272727	0.451298701298701	NA
pairID16	Ahrens2014Scarabaeoidea.nwk	SabatinelliEberle2020Glaphyridae.nwk	G	G	GG	7	0.345464649786158	3	3	4.12310562561766	6	2014	2020	Coleoptera	superfamily	7	0	4	1	0.857142857142857	0.789772727272727	NA
pairID17	Ahrens2014Scarabaeoidea.nwk	SipekFabrizi2016Cetoniinae.nwk	G	G	GG	56	0.26340456608113	41.0702144598085	117	56.3560112144215	36	2014	2016	Coleoptera	family	7	0	3	1	0.839285714285714	0.451298701298701	NA
pairID18	Ahrens2014Scarabaeoidea.nwk	TarasovDimitrov2016Scarabaeinae.nwk	G	G	GG	22	0.440248701630948	13.1534125188537	51	52.8393792544916	10	2014	2016	Coleoptera	family	12	0	3	-4	0.636363636363636	0.337378640776699	NA
